product_scope,market_date,institution_total_sv_18,detail_fields,detail_values,detail_sum,difference_sv_18_minus_detail_sum,sv_15_futures_quantity,classification
KOSPI200_CALL_U,20250912,-1845,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-1761|-76|0|0|0|0|0|0,-1837,-8,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250915,66,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,72|-4|0|0|0|0|0|0,68,-2,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250916,-854,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-350|-501|0|1|0|0|0|0,-850,-4,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250917,-625,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-663|21|1|0|0|0|0|0,-641,16,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250918,-320,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,133|-409|1|0|0|0|0|0,-275,-45,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250919,-321,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-309|-8|-1|0|0|0|0|0,-318,-3,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250922,-297,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-305|4|1|0|0|0|0|0,-300,3,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250923,-206,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-170|-30|0|0|0|0|0|0,-200,-6,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250924,-146,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-98|28|-99|0|0|0|0|0,-169,23,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250925,-2306,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-2094|-249|-1|0|0|0|0|0,-2344,38,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250926,1868,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,1761|80|2|0|0|0|0|0,1843,25,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250929,-14562,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-5051|-9359|0|0|0|0|0|0,-14410,-152,0,OPTION_SPECIFIC_SEMANTICS
